trial,nrows,nbins,filter,sketch_size,time (ns)
0,100000,100,filter3,4,1904700.00
1,100000,100,filter3,4,2441700.00
2,100000,100,filter3,4,1989800.00
3,100000,100,filter3,4,2186300.00
4,100000,100,filter3,4,2030800.00
0,100000,100,filter3,8,1793000.00
1,100000,100,filter3,8,1830600.00
2,100000,100,filter3,8,1789600.00
3,100000,100,filter3,8,1895000.00
4,100000,100,filter3,8,1729900.00
0,100000,1000,filter1,1,942800.00
1,100000,1000,filter1,1,849300.00
2,100000,1000,filter1,1,805800.00
3,100000,1000,filter1,1,795800.00
4,100000,1000,filter1,1,797900.00
0,100000,1000,filter1,2,1256100.00
1,100000,1000,filter1,2,1283700.00
2,100000,1000,filter1,2,1404800.00
3,100000,1000,filter1,2,1403400.00
4,100000,1000,filter1,2,1506300.00
0,100000,1000,filter1,4,1628000.00
1,100000,1000,filter1,4,1657900.00
2,100000,1000,filter1,4,1473100.00
3,100000,1000,filter1,4,1472600.00
4,100000,1000,filter1,4,1334200.00
0,100000,1000,filter1,8,1419100.00
1,100000,1000,filter1,8,1324700.00
2,100000,1000,filter1,8,1286800.00
3,100000,1000,filter1,8,1321200.00
4,100000,1000,filter1,8,1248600.00
0,100000,1000,filter2,1,783699.00
1,100000,1000,filter2,1,803400.00
2,100000,1000,filter2,1,861400.00
3,100000,1000,filter2,1,851600.00
4,100000,1000,filter2,1,783300.00
0,100000,1000,filter2,2,1226700.00
1,100000,1000,filter2,2,1259700.00
2,100000,1000,filter2,2,1242500.00
3,100000,1000,filter2,2,1166400.00
4,100000,1000,filter2,2,1147700.00
0,100000,1000,filter2,4,1196300.00
1,100000,1000,filter2,4,1185700.00
2,100000,1000,filter2,4,1257900.00
3,100000,1000,filter2,4,1216200.00
4,100000,1000,filter2,4,1191700.00
0,100000,1000,filter2,8,1553100.00
1,100000,1000,filter2,8,1391300.00
2,100000,1000,filter2,8,1290300.00
3,100000,1000,filter2,8,1285300.00
4,100000,1000,filter2,8,1234500.00
0,100000,1000,filter3,1,470000.00
1,100000,1000,filter3,1,438100.00
2,100000,1000,filter3,1,417400.00
3,100000,1000,filter3,1,420100.00
4,100000,1000,filter3,1,415800.00
0,100000,1000,filter3,2,1132500.00
1,100000,1000,filter3,2,1119900.00
2,100000,1000,filter3,2,1166500.00
3,100000,1000,filter3,2,1149200.00
4,100000,1000,filter3,2,1242300.00
0,100000,1000,filter3,4,1210099.00
1,100000,1000,filter3,4,1219200.00
2,100000,1000,filter3,4,1175800.00
3,100000,1000,filter3,4,1263100.00
4,100000,1000,filter3,4,1076800.00
0,100000,1000,filter3,8,1366200.00
1,100000,1000,filter3,8,1335700.00
2,100000,1000,filter3,8,1280400.00
3,100000,1000,filter3,8,1289300.00
4,100000,1000,filter3,8,1486800.00
0,100000,10000,filter1,1,813600.00
1,100000,10000,filter1,1,790500.00
2,100000,10000,filter1,1,747800.00
3,100000,10000,filter1,1,750300.00
4,100000,10000,filter1,1,749400.00
0,100000,10000,filter1,2,1108100.00
1,100000,10000,filter1,2,1087700.00
2,100000,10000,filter1,2,1236600.00
3,100000,10000,filter1,2,1158700.00
4,100000,10000,filter1,2,1287600.00
0,100000,10000,filter1,4,1221200.00
1,100000,10000,filter1,4,1278900.00
2,100000,10000,filter1,4,1180900.00
3,100000,10000,filter1,4,1176200.00
4,100000,10000,filter1,4,1191300.00
0,100000,10000,filter1,8,1242600.00
1,100000,10000,filter1,8,1188400.00
2,100000,10000,filter1,8,1218100.00
3,100000,10000,filter1,8,1273600.00
4,100000,10000,filter1,8,1233300.00
0,100000,10000,filter2,1,802900.00
1,100000,10000,filter2,1,754100.00
2,100000,10000,filter2,1,744600.00
3,100000,10000,filter2,1,792900.00
4,100000,10000,filter2,1,740400.00
0,100000,10000,filter2,2,1064900.00
1,100000,10000,filter2,2,1007600.00
2,100000,10000,filter2,2,933700.00
3,100000,10000,filter2,2,895700.00
4,100000,10000,filter2,2,934800.00
0,100000,10000,filter2,4,1096400.00
1,100000,10000,filter2,4,1154400.00
2,100000,10000,filter2,4,1097099.00
3,100000,10000,filter2,4,1159300.00
4,100000,10000,filter2,4,1161400.00
0,100000,10000,filter2,8,1563300.00
1,100000,10000,filter2,8,1437800.00
2,100000,10000,filter2,8,1375900.00
3,100000,10000,filter2,8,1250700.00
4,100000,10000,filter2,8,1341700.00
0,100000,10000,filter3,1,424000.00
1,100000,10000,filter3,1,418000.00
2,100000,10000,filter3,1,400200.00
3,100000,10000,filter3,1,409600.00
4,100000,10000,filter3,1,404300.00
0,100000,10000,filter3,2,1305300.00
1,100000,10000,filter3,2,1267500.00
2,100000,10000,filter3,2,1308400.00
3,100000,10000,filter3,2,1333900.00
4,100000,10000,filter3,2,1337100.00
0,100000,10000,filter3,4,865100.00
1,100000,10000,filter3,4,885200.00
2,100000,10000,filter3,4,799800.00
3,100000,10000,filter3,4,799000.00
4,100000,10000,filter3,4,817300.00
0,100000,10000,filter3,8,800500.00
1,100000,10000,filter3,8,835200.00
2,100000,10000,filter3,8,1171200.00
3,100000,10000,filter3,8,1131900.00
4,100000,10000,filter3,8,1047600.00
0,1000000,10,filter1,1,11817100.00
1,1000000,10,filter1,1,10902600.00
2,1000000,10,filter1,1,11120399.00
3,1000000,10,filter1,1,11535700.00
4,1000000,10,filter1,1,10854100.00
0,1000000,10,filter1,2,15147999.00
1,1000000,10,filter1,2,14738400.00
2,1000000,10,filter1,2,14562699.00
3,1000000,10,filter1,2,14445600.00
4,1000000,10,filter1,2,14890800.00
0,1000000,10,filter1,4,20271100.00
1,1000000,10,filter1,4,20835099.00
2,1000000,10,filter1,4,42885999.00
3,1000000,10,filter1,4,21243099.00
4,1000000,10,filter1,4,20739100.00
0,1000000,10,filter1,8,33196299.00
1,1000000,10,filter1,8,33373999.00
2,1000000,10,filter1,8,35163499.00
3,1000000,10,filter1,8,35157099.00
4,1000000,10,filter1,8,35960499.00
0,1000000,10,filter2,1,11946999.00
1,1000000,10,filter2,1,12167200.00
2,1000000,10,filter2,1,12292800.00
3,1000000,10,filter2,1,11985399.00
4,1000000,10,filter2,1,12575900.00
0,1000000,10,filter2,2,15363699.00
1,1000000,10,filter2,2,14421700.00
2,1000000,10,filter2,2,14239600.00
3,1000000,10,filter2,2,14789999.00
4,1000000,10,filter2,2,15196700.00
0,1000000,10,filter2,4,21881199.00
1,1000000,10,filter2,4,22550499.00
2,1000000,10,filter2,4,20858700.00
3,1000000,10,filter2,4,20502099.00
4,1000000,10,filter2,4,23320499.00
0,1000000,10,filter2,8,42240499.00
1,1000000,10,filter2,8,39500399.00
2,1000000,10,filter2,8,39736699.00
3,1000000,10,filter2,8,31029899.00
4,1000000,10,filter2,8,29481299.00
0,1000000,10,filter3,1,10932500.00
1,1000000,10,filter3,1,10721799.00
2,1000000,10,filter3,1,10545200.00
3,1000000,10,filter3,1,10718300.00
4,1000000,10,filter3,1,11344899.00
0,1000000,10,filter3,2,16453000.00
1,1000000,10,filter3,2,16431999.00
2,1000000,10,filter3,2,16657400.00
3,1000000,10,filter3,2,18006299.00
4,1000000,10,filter3,2,17465900.00
0,1000000,10,filter3,4,19461399.00
1,1000000,10,filter3,4,19341300.00
2,1000000,10,filter3,4,20555899.00
3,1000000,10,filter3,4,18291200.00
4,1000000,10,filter3,4,18232199.00
0,1000000,10,filter3,8,28714899.00
1,1000000,10,filter3,8,29219699.00
