trial,nrows,nbins,filter,sketch_size,time (ns)
3,100000,10,filter4,8,2870600.00
4,100000,10,filter4,8,2893700.00
0,100000,100,filter1,1,973000.00
1,100000,100,filter1,1,835500.00
2,100000,100,filter1,1,796200.00
3,100000,100,filter1,1,794400.00
4,100000,100,filter1,1,818300.00
0,100000,100,filter1,2,929300.00
1,100000,100,filter1,2,929200.00
2,100000,100,filter1,2,967100.00
3,100000,100,filter1,2,934800.00
4,100000,100,filter1,2,915400.00
0,100000,100,filter1,4,1057900.00
1,100000,100,filter1,4,1059100.00
2,100000,100,filter1,4,1068100.00
3,100000,100,filter1,4,1054400.00
4,100000,100,filter1,4,1065300.00
0,100000,100,filter1,8,1490700.00
1,100000,100,filter1,8,1534900.00
2,100000,100,filter1,8,1324900.00
3,100000,100,filter1,8,1285600.00
4,100000,100,filter1,8,1399200.00
0,100000,100,filter2,1,811400.00
1,100000,100,filter2,1,690500.00
2,100000,100,filter2,1,691900.00
3,100000,100,filter2,1,826500.00
4,100000,100,filter2,1,706100.00
0,100000,100,filter2,2,817200.00
1,100000,100,filter2,2,818700.00
2,100000,100,filter2,2,845400.00
3,100000,100,filter2,2,902500.00
4,100000,100,filter2,2,899100.00
0,100000,100,filter2,4,1603800.00
1,100000,100,filter2,4,1159200.00
2,100000,100,filter2,4,905500.00
3,100000,100,filter2,4,885300.00
4,100000,100,filter2,4,921500.00
0,100000,100,filter2,8,1071800.00
1,100000,100,filter2,8,1022200.00
2,100000,100,filter2,8,1051000.00
3,100000,100,filter2,8,1069200.00
4,100000,100,filter2,8,1000300.00
0,100000,100,filter3,1,590400.00
1,100000,100,filter3,1,566000.00
2,100000,100,filter3,1,599000.00
3,100000,100,filter3,1,661100.00
4,100000,100,filter3,1,566000.00
0,100000,100,filter3,2,1458400.00
1,100000,100,filter3,2,1083700.00
2,100000,100,filter3,2,1093000.00
3,100000,100,filter3,2,957700.00
4,100000,100,filter3,2,953000.00
0,100000,100,filter3,4,1339800.00
1,100000,100,filter3,4,1239700.00
2,100000,100,filter3,4,1382500.00
3,100000,100,filter3,4,1277200.00
4,100000,100,filter3,4,1250600.00
0,100000,100,filter3,8,1737700.00
1,100000,100,filter3,8,1838900.00
2,100000,100,filter3,8,1866000.00
3,100000,100,filter3,8,1642700.00
4,100000,100,filter3,8,1680400.00
0,100000,100,filter4,1,519500.00
1,100000,100,filter4,1,371600.00
2,100000,100,filter4,1,360800.00
3,100000,100,filter4,1,363700.00
4,100000,100,filter4,1,344700.00
0,100000,100,filter4,2,1587800.00
1,100000,100,filter4,2,943800.00
2,100000,100,filter4,2,867600.00
3,100000,100,filter4,2,838400.00
4,100000,100,filter4,2,733900.00
0,100000,100,filter4,4,1287900.00
1,100000,100,filter4,4,1045600.00
2,100000,100,filter4,4,1037400.00
3,100000,100,filter4,4,1019900.00
4,100000,100,filter4,4,1326000.00
0,100000,100,filter4,8,2114200.00
1,100000,100,filter4,8,1759400.00
2,100000,100,filter4,8,1769400.00
3,100000,100,filter4,8,1906300.00
4,100000,100,filter4,8,2238800.00
0,100000,1000,filter1,1,1378600.00
1,100000,1000,filter1,1,1074600.00
2,100000,1000,filter1,1,991200.00
3,100000,1000,filter1,1,1058500.00
4,100000,1000,filter1,1,1008600.00
