trial,nrows,nbins,filter,sketch_size,time (ns)
1,100000,100,filter3,8,1170900.00
2,100000,100,filter3,8,1165400.00
3,100000,100,filter3,8,1115000.00
4,100000,100,filter3,8,1217000.00
0,100000,1000,filter1,1,414600.00
1,100000,1000,filter1,1,372000.00
2,100000,1000,filter1,1,365400.00
3,100000,1000,filter1,1,362600.00
4,100000,1000,filter1,1,363200.00
0,100000,1000,filter1,2,595600.00
1,100000,1000,filter1,2,577700.00
2,100000,1000,filter1,2,566800.00
3,100000,1000,filter1,2,565300.00
4,100000,1000,filter1,2,567300.00
0,100000,1000,filter1,4,991500.00
1,100000,1000,filter1,4,1046900.00
2,100000,1000,filter1,4,951200.00
3,100000,1000,filter1,4,1004200.00
4,100000,1000,filter1,4,971500.00
0,100000,1000,filter1,8,1977800.00
1,100000,1000,filter1,8,1730100.00
2,100000,1000,filter1,8,1687400.00
3,100000,1000,filter1,8,1710600.00
4,100000,1000,filter1,8,1716000.00
0,100000,1000,filter2,1,376300.00
1,100000,1000,filter2,1,361100.00
2,100000,1000,filter2,1,362100.00
3,100000,1000,filter2,1,358500.00
4,100000,1000,filter2,1,358500.00
0,100000,1000,filter2,2,587000.00
1,100000,1000,filter2,2,627700.00
2,100000,1000,filter2,2,564400.00
3,100000,1000,filter2,2,563300.00
4,100000,1000,filter2,2,567400.00
0,100000,1000,filter2,4,1022200.00
1,100000,1000,filter2,4,1081800.00
2,100000,1000,filter2,4,1026300.00
3,100000,1000,filter2,4,947500.00
4,100000,1000,filter2,4,944000.00
0,100000,1000,filter2,8,1738600.00
1,100000,1000,filter2,8,1784900.00
2,100000,1000,filter2,8,1696200.00
3,100000,1000,filter2,8,1773600.00
4,100000,1000,filter2,8,1703400.00
0,100000,1000,filter3,1,364200.00
1,100000,1000,filter3,1,306000.00
2,100000,1000,filter3,1,295200.00
3,100000,1000,filter3,1,295900.00
4,100000,1000,filter3,1,346200.00
0,100000,1000,filter3,2,418600.00
1,100000,1000,filter3,2,394600.00
2,100000,1000,filter3,2,407800.00
3,100000,1000,filter3,2,384300.00
4,100000,1000,filter3,2,385200.00
0,100000,1000,filter3,4,581300.00
1,100000,1000,filter3,4,574500.00
2,100000,1000,filter3,4,679300.00
3,100000,1000,filter3,4,604700.00
4,100000,1000,filter3,4,542600.00
0,100000,1000,filter3,8,889100.00
1,100000,1000,filter3,8,876100.00
2,100000,1000,filter3,8,838700.00
3,100000,1000,filter3,8,925100.00
4,100000,1000,filter3,8,824700.00
0,100000,10000,filter1,1,444800.00
1,100000,10000,filter1,1,361600.00
2,100000,10000,filter1,1,372800.00
3,100000,10000,filter1,1,400100.00
4,100000,10000,filter1,1,358300.00
0,100000,10000,filter1,2,695600.00
1,100000,10000,filter1,2,598500.00
2,100000,10000,filter1,2,592500.00
3,100000,10000,filter1,2,558900.00
4,100000,10000,filter1,2,554200.00
0,100000,10000,filter1,4,1006200.00
1,100000,10000,filter1,4,944200.00
2,100000,10000,filter1,4,939000.00
3,100000,10000,filter1,4,964900.00
4,100000,10000,filter1,4,993300.00
0,100000,10000,filter1,8,1700700.00
1,100000,10000,filter1,8,1727400.00
2,100000,10000,filter1,8,1706700.00
3,100000,10000,filter1,8,1989200.00
4,100000,10000,filter1,8,1981300.00
0,100000,10000,filter2,1,457000.00
1,100000,10000,filter2,1,358500.00
2,100000,10000,filter2,1,355300.00
3,100000,10000,filter2,1,352100.00
4,100000,10000,filter2,1,352800.00
0,100000,10000,filter2,2,572700.00
1,100000,10000,filter2,2,553700.00
2,100000,10000,filter2,2,554700.00
3,100000,10000,filter2,2,553400.00
4,100000,10000,filter2,2,573300.00
0,100000,10000,filter2,4,949100.00
1,100000,10000,filter2,4,1017400.00
2,100000,10000,filter2,4,934800.00
3,100000,10000,filter2,4,927400.00
4,100000,10000,filter2,4,955500.00
0,100000,10000,filter2,8,2018100.00
1,100000,10000,filter2,8,1668000.00
2,100000,10000,filter2,8,1695600.00
3,100000,10000,filter2,8,1725700.00
4,100000,10000,filter2,8,1668300.00
0,100000,10000,filter3,1,318800.00
1,100000,10000,filter3,1,295500.00
2,100000,10000,filter3,1,312600.00
3,100000,10000,filter3,1,289800.00
4,100000,10000,filter3,1,287300.00
0,100000,10000,filter3,2,549700.00
1,100000,10000,filter3,2,458700.00
2,100000,10000,filter3,2,380200.00
3,100000,10000,filter3,2,372800.00
4,100000,10000,filter3,2,375900.00
0,100000,10000,filter3,4,552700.00
1,100000,10000,filter3,4,676100.00
2,100000,10000,filter3,4,589300.00
